race_id,DriverNumber,Abbreviation,DriverId,TeamName,TeamId,Position,GridPosition,q_pos,Status,Points,Laps,is_winner
2020-Austrian Grand Prix,77,BOT,bottas,Mercedes,mercedes,1,1,1,Finished,25.0,71.0,1
2020-Austrian Grand Prix,16,LEC,leclerc,Ferrari,ferrari,2,7,7,Finished,18.0,71.0,0
2020-Austrian Grand Prix,4,NOR,norris,McLaren,mclaren,3,3,4,Finished,16.0,71.0,0
2020-Austrian Grand Prix,44,HAM,hamilton,Mercedes,mercedes,4,5,2,Finished,12.0,71.0,0
2020-Austrian Grand Prix,55,SAI,sainz,McLaren,mclaren,5,8,8,Finished,10.0,71.0,0
2020-Austrian Grand Prix,11,PER,perez,Racing Point,racing_point,6,6,6,Finished,8.0,71.0,0
2020-Austrian Grand Prix,10,GAS,gasly,AlphaTauri,alphatauri,7,12,12,Finished,6.0,71.0,0
2020-Austrian Grand Prix,31,OCO,ocon,Renault,renault,8,14,14,Finished,4.0,71.0,0
2020-Austrian Grand Prix,99,GIO,giovinazzi,Alfa Romeo Racing,alfa,9,18,18,Finished,2.0,71.0,0
2020-Austrian Grand Prix,5,VET,vettel,Ferrari,ferrari,10,11,11,Finished,1.0,71.0,0
2020-Austrian Grand Prix,6,LAT,latifi,Williams,williams,11,20,20,Finished,0.0,71.0,0
2020-Austrian Grand Prix,26,KVY,kvyat,AlphaTauri,alphatauri,12,13,13,Suspension,0.0,69.0,0
2020-Austrian Grand Prix,23,ALB,albon,Red Bull Racing,red_bull,13,4,5,Electronics,0.0,67.0,0
2020-Austrian Grand Prix,7,RAI,raikkonen,Alfa Romeo Racing,alfa,14,19,19,Wheel,0.0,53.0,0
2020-Austrian Grand Prix,63,RUS,russell,Williams,williams,15,17,17,Fuel pressure,0.0,49.0,0
2020-Austrian Grand Prix,8,GRO,grosjean,Haas F1 Team,haas,16,15,15,Brakes,0.0,49.0,0
2020-Austrian Grand Prix,20,MAG,kevin_magnussen,Haas F1 Team,haas,17,16,16,Brakes,0.0,24.0,0
2020-Austrian Grand Prix,18,STR,stroll,Racing Point,racing_point,18,9,9,Engine,0.0,20.0,0
2020-Austrian Grand Prix,3,RIC,ricciardo,Renault,renault,19,10,10,Overheating,0.0,17.0,0
2020-Austrian Grand Prix,33,VER,max_verstappen,Red Bull Racing,red_bull,20,2,3,Electronics,0.0,11.0,0
2020-Styrian Grand Prix,44,HAM,hamilton,Mercedes,mercedes,1,1,1,Finished,25.0,71.0,1
2020-Styrian Grand Prix,77,BOT,bottas,Mercedes,mercedes,2,4,4,Finished,18.0,71.0,0
2020-Styrian Grand Prix,33,VER,max_verstappen,Red Bull Racing,red_bull,3,2,2,Finished,15.0,71.0,0
2020-Styrian Grand Prix,23,ALB,albon,Red Bull Racing,red_bull,4,6,7,Finished,12.0,71.0,0
2020-Styrian Grand Prix,4,NOR,norris,McLaren,mclaren,5,9,6,Finished,10.0,71.0,0
2020-Styrian Grand Prix,11,PER,perez,Racing Point,racing_point,6,17,17,Finished,8.0,71.0,0
2020-Styrian Grand Prix,18,STR,stroll,Racing Point,racing_point,7,12,13,Finished,6.0,71.0,0
2020-Styrian Grand Prix,3,RIC,ricciardo,Renault,renault,8,8,9,Finished,4.0,71.0,0
2020-Styrian Grand Prix,55,SAI,sainz,McLaren,mclaren,9,3,3,+1 Lap,3.0,70.0,0
2020-Styrian Grand Prix,26,KVY,kvyat,AlphaTauri,alphatauri,10,13,14,+1 Lap,1.0,70.0,0
2020-Styrian Grand Prix,7,RAI,raikkonen,Alfa Romeo Racing,alfa,11,16,16,+1 Lap,0.0,70.0,0
2020-Styrian Grand Prix,20,MAG,kevin_magnussen,Haas F1 Team,haas,12,15,15,+1 Lap,0.0,70.0,0
2020-Styrian Grand Prix,8,GRO,grosjean,Haas F1 Team,haas,13,0,20,+1 Lap,0.0,70.0,0
2020-Styrian Grand Prix,99,GIO,giovinazzi,Alfa Romeo Racing,alfa,14,19,19,+1 Lap,0.0,70.0,0
2020-Styrian Grand Prix,10,GAS,gasly,AlphaTauri,alphatauri,15,7,8,+1 Lap,0.0,70.0,0
2020-Styrian Grand Prix,63,RUS,russell,Williams,williams,16,11,12,+2 Laps,0.0,69.0,0
2020-Styrian Grand Prix,6,LAT,latifi,Williams,williams,17,18,18,+2 Laps,0.0,69.0,0
2020-Styrian Grand Prix,31,OCO,ocon,Renault,renault,18,5,5,Overheating,0.0,25.0,0
2020-Styrian Grand Prix,16,LEC,leclerc,Ferrari,ferrari,19,14,11,Collision damage,0.0,4.0,0
2020-Styrian Grand Prix,5,VET,vettel,Ferrari,ferrari,20,10,10,Collision damage,0.0,1.0,0
2020-Hungarian Grand Prix,44,HAM,hamilton,Mercedes,mercedes,1,1,1,Finished,26.0,70.0,1
2020-Hungarian Grand Prix,33,VER,max_verstappen,Red Bull Racing,red_bull,2,7,7,Finished,18.0,70.0,0
2020-Hungarian Grand Prix,77,BOT,bottas,Mercedes,mercedes,3,2,2,Finished,15.0,70.0,0
2020-Hungarian Grand Prix,18,STR,stroll,Racing Point,racing_point,4,3,3,Finished,12.0,70.0,0
2020-Hungarian Grand Prix,23,ALB,albon,Red Bull Racing,red_bull,5,13,13,Finished,10.0,70.0,0
2020-Hungarian Grand Prix,5,VET,vettel,Ferrari,ferrari,6,5,5,+1 Lap,8.0,69.0,0
2020-Hungarian Grand Prix,11,PER,perez,Racing Point,racing_point,7,4,4,+1 Lap,6.0,69.0,0
2020-Hungarian Grand Prix,3,RIC,ricciardo,Renault,renault,8,11,11,+1 Lap,4.0,69.0,0
2020-Hungarian Grand Prix,55,SAI,sainz,McLaren,mclaren,9,9,9,+1 Lap,2.0,69.0,0
2020-Hungarian Grand Prix,20,MAG,kevin_magnussen,Haas F1 Team,haas,10,0,16,+1 Lap,1.0,69.0,0
2020-Hungarian Grand Prix,16,LEC,leclerc,Ferrari,ferrari,11,6,6,+1 Lap,0.0,69.0,0
2020-Hungarian Grand Prix,26,KVY,kvyat,AlphaTauri,alphatauri,12,17,17,+1 Lap,0.0,69.0,0
